"Adolescent fertility rate (births per 1,000 women ages 15-19)",Arable land (% of land area),Arable land (hectares per person),"Birth rate, crude (per 1,000 people)",CO2 emissions from solid fuel consumption (% of total),Crop production index (2004-2006 = 100),Livestock production index (2004-2006 = 100),Permanent cropland (% of land area),"Population, female (% of total)",Rural population (% of total population),"Life expectancy at birth, total (years)",Year,CountryName,MeanLifeExpetancyOverall,MeanLifeExpetancyForYear,AboveAverageLifeExpectancyOverall,AboveAverageLifeExpectancyByYear
145.321,11.94743130227,0.801756051330889,51.614,35.8078602620087,73.15,48.66,0.111815703213553,48.63462486296911,90.574,34.0928780487805,1964,Afghanistan,64.19356275253435,55.93721762963236,False,False
46.6478,4.60539161449045,3.16826363392138,20.5,61.6541606379757,34.23,61.43,0.0219986202048866,49.60419685299,16.89,70.88097560975609,1964,Australia,64.19356275253435,55.93721762963236,True,True
56.3066,20.0653911358682,0.2293806266257889,18.5,48.662900188323896,93.29,72.46,0.811334463550496,53.2703343722047,35.038000000000004,69.92195121951221,1964,Austria,64.19356275253435,55.93721762963236,True,True
88.5072,8.691025186236251,0.37891060880108796,45.799,0.0,18.74,35.63,0.709471443774388,52.1898713327833,88.199,39.1368536585366,1964,Benin,64.19356275253435,55.93721762963236,False,False
100.5586,1.2378842425920802,0.336018221659268,43.539,0.2475247524752469,24.62,20.76,0.12646542970552901,50.360060688749705,62.043,43.4302195121951,1964,Bolivia,64.19356275253435,55.93721762963236,False,False
88.4568,3.2303837935234396,0.330267949323001,40.875,10.8841778697001,24.47,15.12,0.746697231680733,50.1635168849245,49.941,56.2629512195122,1964,Brazil,64.19356275253435,55.93721762963236,False,True
178.0664,10.894628842207696,0.880273565094264,44.053,0.0,31.8,24.76,1.1211948128873899,50.76961548625121,83.745,43.2786585365854,1964,Cameroon,64.19356275253435,55.93721762963236,False,False
50.4762,4.61691909944565,2.17252263906856,23.4,21.8507609986276,38.2,49.77,1.0392026841120798,49.666862125469294,27.893,71.7763414634146,1964,Canada,64.19356275253435,55.93721762963236,True,True
174.1664,2.7448714244438,1.05783119859698,43.807,0.0,52.01,14.99,0.0963112780506597,50.844687491300704,77.197,38.2253658536585,1964,Central African Republic,64.19356275253435,55.93721762963236,False,False
90.7498,4.97624850040079,0.439241399237904,34.311,25.1517053776941,31.2,26.27,0.26629654137279896,50.640829458709796,29.045,59.578024390243904,1964,Chile,64.19356275253435,55.93721762963236,False,True
