,0
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1,Arable land (hectares per person)
2,CO2 emissions from solid fuel consumption (kt)
3,GDP per capita (current US$)
4,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
5,Merchandise trade (% of GDP)
6,Number of under-five deaths
7,Permanent cropland (% of land area)
8,Rural population
9,Urban population (% of total)
