"Adolescent fertility rate (births per 1,000 women ages 15-19)",Cereal yield (kg per hectare),Urban population (% of total),GDP per capita (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Permanent cropland (% of land area),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Population density (people per sq. km of land area),Agricultural land (% of land area),Arable land (hectares per person),CO2 emissions from solid fuel consumption (kt),Arable land (% of land area),Merchandise trade (% of GDP),"Life expectancy at birth, total (years)",Year,CountryName,MeanLifeExpetancyOverall,MeanLifeExpetancyForYear,AboveAverageLifeExpectancyOverall,AboveAverageLifeExpectancyByYear
145.321,1082.838,9.426,82.23139455814359,44.2528735632184,0.111815703213553,57.1225071225071,14.9015792053426,58.01090586036821,0.801756051330889,300.694,11.94743130227,23.4999986631112,34.0928780487805,1964,Afghanistan,64.19356275253435,55.93721762963236,False,False
46.6478,1323.715,83.11,2127.1657387954997,9.663117589762539,0.0219986202048866,2.71390878251037,1.45360113507673,61.050596826471214,3.16826363392138,67190.44099999999,4.60539161449045,26.8226149646393,70.88097560975609,1964,Australia,64.19356275253435,55.93721762963236,True,True
56.3066,2621.71,64.962,1269.41258289256,11.543540204322698,0.811334463550496,8.977475287635711,87.47639864373942,48.24412690724149,0.2293806266257889,18951.056,20.0653911358682,36.0851233899756,69.92195121951221,1964,Austria,64.19356275253435,55.93721762963236,True,True
88.5072,529.302,11.800999999999998,104.32375892899,1.52671755725191,0.709471443774388,9.38511326860841,22.9368747782902,13.320326356864099,0.37891060880108796,0.0,8.691025186236251,16.410000426093198,39.1368536585366,1964,Benin,64.19356275253435,55.93721762963236,False,False
100.5586,795.06,37.957,203.601251487559,2.3705004389815603,0.12646542970552901,3.69290573372206,3.68397950706176,27.5805409397212,0.336018221659268,3.667,1.2378842425920802,24.4528575435838,43.4302195121951,1964,Bolivia,64.19356275253435,55.93721762963236,False,False
88.4568,1256.435,50.059,259.46696881361,8.37934167307289,0.746697231680733,7.8204314720812205,9.781099861931,19.8657835355713,0.330267949323001,6175.228,3.2303837935234396,12.695708459162299,56.2629512195122,1964,Brazil,64.19356275253435,55.93721762963236,False,True
178.0664,781.905,16.255,133.730545350901,6.48,1.1211948128873899,8.793103448275861,12.3764125996911,16.2467474773117,0.880273565094264,0.0,10.894628842207696,30.779626840455602,43.2786585365854,1964,Cameroon,64.19356275253435,55.93721762963236,False,False
50.4762,1527.185,72.107,2529.5181790541,10.1871541379096,1.0392026841120798,4.5574147400689675,2.12514199687469,7.720671115993709,2.17252263906856,51961.39,4.61691909944565,31.5840257885068,71.7763414634146,1964,Canada,64.19356275253435,55.93721762963236,True,True
174.1664,661.597,22.803,87.8588065622271,3.4602076124567502,0.0963112780506597,6.779661016949151,2.59481042730104,7.65674660502745,1.05783119859698,0.0,2.7448714244438,41.3898028025979,38.2253658536585,1964,Central African Republic,64.19356275253435,55.93721762963236,False,False
90.7498,1677.317,70.955,687.865002270502,9.2,0.26629654137279896,16.6639276910436,11.329188252825697,18.6918653131271,0.439241399237904,4407.734,4.97624850040079,22.6889511807974,59.578024390243904,1964,Chile,64.19356275253435,55.93721762963236,False,True
124.2764,1454.223,50.24,322.472204062447,3.5557986870897205,1.30238846327174,5.09140611652145,16.7480594862551,37.8503830554304,0.191045385279883,7711.701,3.199639477242,18.928036102939803,58.641268292682895,1964,Colombia,64.19356275253435,55.93721762963236,False,True
140.8286,932.642,34.524,164.82637599199302,12.6849894291755,0.0732064421669107,10.248447204968999,3.29898096632504,30.8726207906296,0.4597897039060821,0.0,1.51683748169839,61.4937850458391,50.952292682926796,1964,"Congo, Rep.",64.19356275253435,55.93721762963236,False,False
217.7382,774.919,23.007,227.44129499103002,10.477453580901901,4.08805031446541,9.57055214723926,12.734827044025199,50.251572327044,0.414848105094853,0.0,5.283018867924531,57.747929465483395,39.5050975609756,1964,Cote d'Ivoire,64.19356275253435,55.93721762963236,False,False
45.1342,3963.428,76.40899999999998,2013.24307693268,5.0930089458986,0.33042246872787395,5.9121039120272805,111.448477696483,72.40972386122259,0.5772889528156279,14921.023,64.33797498229879,49.6908554278294,72.4851219512195,1964,Denmark,64.19356275253435,55.93721762963236,True,True
128.2872,768.6619999999998,36.122,226.719814031916,5.08866615265997,2.925877763329,7.353951890034361,18.4202788614362,17.0495593122381,0.335328965559166,0.0,6.1768530559167685,25.489060513923697,55.3872926829268,1964,Ecuador,64.19356275253435,55.93721762963236,False,False
94.8264,1785.444,31.991,310.88807314481096,10.651828298887098,3.7766830870279104,8.37004405286344,24.6552818828681,12.479474548440098,0.190919343237459,11.001,4.7071702244116,102.193974785732,57.638853658536604,1964,Fiji,64.19356275253435,55.93721762963236,False,True
31.278,1581.311,58.832,1707.50393824701,17.3400542846064,0.0032831018746511697,20.2243439941243,14.9333300502315,9.27673265701435,0.5957072407581939,8019.729,8.895892839554811,35.9992811463584,69.2209756097561,1964,Finland,64.19356275253435,55.93721762963236,True,True
36.5342,2823.427,65.898,1919.2667177055896,13.774697795420401,3.1959617653397,10.7771885682208,90.3076578896425,62.292034202269704,0.385808500054086,190427.31,34.841462033800504,20.237392697698105,70.66341463414629,1964,France,64.19356275253435,55.93721762963236,True,True
147.2552,777.623,25.488000000000003,230.43129191713902,13.293897882939,7.03173068471478,16.5196942974721,33.0196273182737,51.4195306319768,0.2262658442657449,121.011,7.471213852509449,38.1677034918737,47.453365853658504,1964,Ghana,64.19356275253435,55.93721762963236,False,False
