,0
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1,Arable land (% of land area)
2,Arable land (hectares per person)
3,CO2 emissions from solid fuel consumption (kt)
4,GDP per capita (current US$)
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
6,Merchandise trade (% of GDP)
7,Permanent cropland (% of land area)
8,Population density (people per sq. km of land area)
9,Urban population (% of total)
